"","id","Estimate.TreatmentEcN","Std. Error.TreatmentEcN","t value.TreatmentEcN","Pr(>|t|).TreatmentEcN","Estimate.Day_of_study_factorDay_43","Std. Error.Day_of_study_factorDay_43","t value.Day_of_study_factorDay_43","Pr(>|t|).Day_of_study_factorDay_43","Estimate.Day_of_study_factorDay_59","Std. Error.Day_of_study_factorDay_59","t value.Day_of_study_factorDay_59","Pr(>|t|).Day_of_study_factorDay_59","Estimate.Day_of_study_factorDay_69","Std. Error.Day_of_study_factorDay_69","t value.Day_of_study_factorDay_69","Pr(>|t|).Day_of_study_factorDay_69","Estimate.department_pre_weaningd2","Std. Error.department_pre_weaningd2","t value.department_pre_weaningd2","Pr(>|t|).department_pre_weaningd2","Estimate.department_pre_weaningd6","Std. Error.department_pre_weaningd6","t value.department_pre_weaningd6","Pr(>|t|).department_pre_weaningd6","Estimate.department_pre_weaningd7","Std. Error.department_pre_weaningd7","t value.department_pre_weaningd7","Pr(>|t|).department_pre_weaningd7","pval.adjust.TreatmentEcN","pval.adjust.Day_of_study_factorDay_43","pval.adjust.Day_of_study_factorDay_59","pval.adjust.Day_of_study_factorDay_69","pval.adjust.department_pre_weaningd2","pval.adjust.department_pre_weaningd6","pval.adjust.department_pre_weaningd7"
"13","k__813809245",-0.225291416572683,0.109543997496924,-2.05662949792397,0.0435280792269647,0.260151941780266,0.133162599258001,1.9536412117957,0.0548233101180475,0.290358349339822,0.352389857963777,0.823969086447626,0.412813105590845,-1.33640621226553,0.175763982339309,-7.60341336421032,1.09638668468892e-10,-0.0805906328200975,0.168302365244272,-0.478844327013046,0.633572374789659,-1.12490107443292,0.203052225044926,-5.53995935865286,5.20393108869745e-07,-0.0998538911696864,0.168227545968026,-0.593564452213225,0.554755870605598,0.222761346632113,0.12229815334026,0.528157943917699,2.56834093059956e-09,0.760969011647069,4.52742004716678e-05,0.742519396041339
"14","k__813809354",-0.0727021263033147,0.144434237997316,-0.503357980153331,0.616325060801557,-0.407696598149386,0.187106389141312,-2.17895604752157,0.032772765400319,-0.811629294164197,0.297298435813287,-2.73001535290258,0.00804099181659061,-0.106000691464485,0.177475903320635,-0.597268076855368,0.552294739390506,-0.105696183139414,0.18541508800401,-0.570051683912196,0.570504891682614,-0.202146933367331,0.19781492757893,-1.02189928657771,0.310418770611116,-0.170531892656739,0.194891937067065,-0.875007428337357,0.384623105052449,0.796506915206819,0.083859723230228,0.0241229754497718,0.658214278451699,0.725922111042765,0.600142956514824,0.608403820719328
"15","k__813809372",-0.298735960120448,0.134822619661774,-2.21577032748569,0.0300993158716161,0.396656052072671,0.148164201682954,2.67713825314867,0.00932284277682138,-0.091668120127574,0.27367823547734,-0.334948520724309,0.738707448117035,0.624209312569214,0.219806167480481,2.83981709760098,0.00596725183564656,-0.151990836042199,0.183997123510038,-0.826050066124575,0.411699532197463,0.178377064125239,0.181120980089807,0.984850369276889,0.328231057952724,-0.0949277388971475,0.20050905915067,-0.473433665786717,0.637438555900955,0.187045748630757,0.0337953050659775,0.793354972334527,0.0192278114704167,0.632941227501746,0.620784826997544,0.803726874831638
"16","k__813809783",-0.0200877688613862,0.117375883148149,-0.171140513047574,0.864525858480956,0.276607753146435,0.14010617864385,1.97427233990566,0.0516447266307031,-0.264194948115196,0.199470259593926,-1.32448290112538,0.188943677613874,0.115269759967524,0.172475851490337,0.668324052158585,0.505763521228884,0.22071329294873,0.168350401342739,1.31103514567445,0.193427236865669,0.216368146062466,0.167059908724744,1.29515302452945,0.198824311139027,0.190553824328818,0.172432144016832,1.10509456003874,0.2722814774152,0.925037811321113,0.118239242549241,0.328761999048141,0.649123474378699,0.400670704936029,0.48049208525265,0.49351017781505
"17","k__8138091042",0.335495024077088,0.145368340680338,2.30789608319761,0.0237675395557609,-0.408443097716525,0.159368432151796,-2.56288583756343,0.0123869146288659,-1.15602427146604,0.310149978483586,-3.72730727604166,0.000373369631712983,-0.929624724101693,0.291976774747019,-3.1838995581315,0.00211730606750551,0.0806345596065595,0.219416897509189,0.367494757796321,0.714286221608173,0.0974960478454388,0.252335443363551,0.386374765850756,0.700314404707893,0.398771831719341,0.210713680413495,1.89248192588544,0.0622904368880399,0.173279455495426,0.0359220524237112,0.00180461988661275,0.00837298308513544,0.81766975368304,0.801675700126141,0.246330364057249
"18","k__813809550",0.0483322564466259,0.174317494695754,0.277265667057589,0.782381730190513,-0.397576717581398,0.235736546260907,-1.68652983123529,0.0960830301063693,-1.20671365393212,0.429682199677655,-2.80838641870059,0.0064254194756447,-1.08346053161269,0.282294396189729,-3.83805185734009,0.000266351786647295,0.698674386264839,0.343412572859615,2.03450438767265,0.0456364681176288,0.979060379458761,0.373162239590445,2.6236855597536,0.0106403136988428,1.23582397206472,0.320024536425364,3.86165381526282,0.000245967169221413,0.924856579364612,0.183114616646429,0.0212532514698331,0.00165518610273676,0.172624901140596,0.0841552083453929,0.00713304790742096
"19","k__813809520",0.0613715054435935,0.0962054232646605,0.637921474289042,0.525562299123663,-0.2356991120746,0.127218672834007,-1.8527084650705,0.0680506741944977,-0.310246701477741,0.132818095447987,-2.33587675257123,0.0223058774866725,-0.0746051734253545,0.138132435880282,-0.540098876487011,0.590806937057424,0.0824107545196095,0.157990869665116,0.52161719657782,0.603548735848671,0.359620776610259,0.132343061420812,2.71733759782669,0.00824941440047416,-0.148624249455944,0.152949281613693,-0.971722442157831,0.33446406680946,0.72577650831363,0.142018751895941,0.0588064042830458,0.694597344918863,0.739559718575132,0.0797443392045836,0.570556349263197
"20","k__813809184",-0.126747045859248,0.129255871452911,-0.980590238838186,0.32964299829441,-0.477476045329516,0.157683348892087,-3.02806890318066,0.00327838383761919,-0.346045258114724,0.194861559875894,-1.7758518321167,0.0794204632010953,-0.410752168398495,0.191944462281992,-2.13995321102332,0.0352927018039759,0.503275011306893,0.186334048767382,2.700928867462,0.00837941232136824,0.0631179208531124,0.198671538558066,0.317699864365146,0.751510080124135,0.533201344137341,0.183165129300165,2.91104178057576,0.00462358150908762,0.597477934408618,0.0150115470459405,0.172739507462382,0.0808017120248921,0.104144124565577,0.849108791828568,0.0502814489113279
"21","k__813809224",0.139806571964926,0.108628958207602,1.28701015154485,0.202095594050012,-0.0322065826160239,0.127659217946996,-0.252285601729099,0.801518607592934,-0.292057008447202,0.183616541889877,-1.59058113959232,0.115960389520096,-0.128277681945073,0.162216364422863,-0.790781388804155,0.431594632763957,0.00285544417007066,0.150214561065539,0.0190091037101577,0.98488492197128,-0.239743295371056,0.156977108753608,-1.52725003839482,0.13095521837094,-0.0284217294465418,0.150449166556756,-0.188912508437326,0.850677715373185,0.468150244729421,0.860890356303522,0.229285315642008,0.623849368453201,0.98624903139915,0.379770133275727,0.938310369895029
"22","k__8138091932",-0.110294439616337,0.162329190914845,-0.679449204389834,0.498962015360498,0.230440926233179,0.192350661710682,1.19802512860491,0.234710280712251,-0.388297766571232,0.285254876651085,-1.36123094942277,0.177549815724023,0.228269681880724,0.223837429075643,1.0198012138693,0.311127872370277,0.565822394080535,0.236721714203923,2.39024288913822,0.0193694355891328,0.149808013552394,0.255474782252917,0.586390610577314,0.559388218849555,-0.0574269485244345,0.261114746301057,-0.219929932483488,0.826528125692701,0.711634349776448,0.352065421068376,0.315241509550817,0.474879384144106,0.128394653016635,0.760418359998614,0.938310369895029
"23","k__813809180",0.268890430352938,0.205126058504252,1.31085456579064,0.193877223032507,-0.475120285449853,0.276755399057946,-1.71675164086094,0.0901216444723169,0.218367466024477,0.247795980754428,0.881238934383218,0.380983236432036,-0.121276321539906,0.317864807354558,-0.381534283550395,0.703877696368937,0.0186898768733331,0.273934718050526,0.0682274850239531,0.945784783291642,-0.168525534466238,0.273203161660593,-0.616850601002932,0.539187625616129,-0.365498192709295,0.280900530027803,-1.30116590621284,0.19715560320082,0.468150244729421,0.178195069752081,0.523386661169335,0.785094353642276,0.98624903139915,0.760418359998614,0.445157603108529
"24","k__813809118",0.19397820529287,0.139086181332748,1.3946619530002,0.167342554994573,0.123927032626209,0.165832230099477,0.747303660765274,0.45727793278526,-0.284478796085465,0.195807930127861,-1.4528461431552,0.150546695154226,-0.61045444249214,0.235915051626557,-2.58760277601305,0.0116514568662385,0.0161604986687703,0.212369307799342,0.0760962063503056,0.939550483888308,0.276949251520075,0.194635547058954,1.4229119793631,0.159016303886164,-0.096159223556085,0.201727282155105,-0.476679319370147,0.63501265980934,0.466343936516094,0.602775456853297,0.275323917582906,0.0326992499149274,0.98624903139915,0.419224801154432,0.803726874831638
"25","k__813809297",0.166288305211766,0.157933536710549,1.05290053446045,0.296059145270426,-1.26596302008248,0.194299316846817,-6.51552995979163,9.9205958096985e-09,-1.08107944767816,0.228757622319882,-4.72587289863697,1.16931118402205e-05,-1.31675837600416,0.266093716542167,-4.94847602233966,5.07223426543787e-06,-0.273272264933583,0.231480368537129,-1.18054186046343,0.241837650458801,-0.442333682085139,0.237834357256001,-1.85983928978359,0.0671704745666662,0.0794277927892758,0.231883408310308,0.342533316066257,0.732990637836288,0.54802437528781,4.31545917721885e-07,0.000169550121683197,4.41284381093095e-05,0.457388599780775,0.265628694877271,0.87356418481859
"26","k__8138091092",0.274555624386861,0.165223340960724,1.66172420186157,0.101030526758024,-0.799512011091972,0.181300535561998,-4.4098712042611,3.64947708977883e-05,-0.862411808120453,0.350176787129452,-2.46278976739152,0.0162435174015415,-0.549271028401219,0.308976397073935,-1.77771193399535,0.0797848091874337,-0.213462252250332,0.223064306099108,-0.956953875693096,0.341876606784386,0.285966949385832,0.249949598417151,1.14409845503561,0.256471377957712,-0.0119563244112668,0.20116539932008,-0.0594352928072029,0.952774379424465,0.327981684478844,0.000352782785345287,0.0455866456107779,0.165268533316827,0.598284263620727,0.52004509573239,0.975192600116805
"27","k__813809682",-0.143118130920675,0.1335179259323,-1.07190199309449,0.287298883889427,-0.357670237989321,0.169953610785083,-2.10451685219926,0.038780405722654,-0.327310689017605,0.183612178500426,-1.78261971341321,0.0788105369916458,-0.817029132673742,0.221180393672739,-3.69394917472942,0.00042382261820569,-0.507300052088187,0.220203611427572,-2.30377716695643,0.0240873864556367,-0.122848347627908,0.172210270861691,-0.713362490014156,0.477898382177475,0.00429116802177437,0.179138989585406,0.0239544056361249,0.980954408859313,0.54802437528781,0.0963970085105971,0.172739507462382,0.002458171185593,0.128394653016635,0.716847573266213,0.980954408859313
