id,group,time,score,department
1,Control,t1,3.295747377,1
2,Control,t1,3.497489444,1
3,Control,t1,3.363776454,7
4,Control,t1,3.314853803,7
5,Control,t1,3.294260053,2
6,Control,t1,3.807315796,2
7,Control,t1,3.335042464,6
8,Control,t1,3.648579055,6
1,Control,t1,3.614020892,1
2,EcN,t1,3.356426486,1
3,EcN,t1,3.146746465,7
4,EcN,t1,2.677798511,7
5,EcN,t1,3.074779882,2
6,EcN,t1,3.069501598,2
7,EcN,t1,3.399278178,6
8,EcN,t1,3.417679241,6
1,Control,t2,3.547170826,1
2,Control,t2,3.651630735,1
3,Control,t2,3.314758085,7
4,Control,t2,3.354488761,7
5,Control,t2,3.363164294,2
6,Control,t2,3.623470001,2
7,Control,t2,3.415718025,6
8,Control,t2,3.773069121,6
1,EcN,t2,3.321451363,1
2,EcN,t2,3.018328027,1
3,EcN,t2,3.616016295,7
4,EcN,t2,2.983716474,7
5,EcN,t2,3.06920359,2
6,EcN,t2,3.353715282,2
7,EcN,t2,3.338223446,6
8,EcN,t2,3.376859795,6
1,Control,t3,3.459705278,1
2,Control,t3,3.408656247,1
3,Control,t3,3.124148688,7
4,Control,t3,3.534824119,7
5,Control,t3,3.428818108,2
6,Control,t3,3.383407799,2
7,Control,t3,3.644303455,6
8,Control,t3,3.176252931,6
1,EcN,t3,,1
2,EcN,t3,3.344530793,1
3,EcN,t3,3.271649964,7
4,EcN,t3,3.013064853,7
5,EcN,t3,3.25159564,2
6,EcN,t3,3.30011049,2
7,EcN,t3,3.495236962,6
8,EcN,t3,3.003920219,6
