id,group,time,score,department
1,Control,t1,1975.82,1
2,Control,t1,3144.05,1
3,Control,t1,2310.875,7
4,Control,t1,2064.685,7
5,Control,t1,1969.065,2
6,Control,t1,6416.76,2
7,Control,t1,2162.93,6
8,Control,t1,4452.245,6
1,Control,t1,4111.695,1
2,EcN,t1,2272.095,1
3,EcN,t1,1401.995,7
4,EcN,t1,476.21,7
5,EcN,t1,1187.9,2
6,EcN,t1,1173.55,2
7,EcN,t1,2507.715,6
8,EcN,t1,2616.25,6
1,Control,t2,3525.095,1
2,Control,t2,4483.64,1
3,Control,t2,2064.23,7
4,Control,t2,2261.98,7
5,Control,t2,2307.62,2
6,Control,t2,4202.135,2
7,Control,t2,2604.462,6
8,Control,t2,5930.197,6
1,EcN,t2,2096.29,1
2,EcN,t2,1043.105,1
3,EcN,t2,4130.63,7
4,EcN,t2,963.2,7
5,EcN,t2,1172.745,2
6,EcN,t2,2257.955,2
7,EcN,t2,2178.8305,6
8,EcN,t2,2381.5505,6
1,Control,t3,2882.075,1
2,Control,t3,2562.455,1
3,Control,t3,1330.91,7
4,Control,t3,3426.29,7
5,Control,t3,2684.22,2
6,Control,t3,2417.73,2
7,Control,t3,4408.628,6
8,Control,t3,1500.5585,6
1,EcN,t3,,1
2,EcN,t3,2210.705,1
3,EcN,t3,1869.175,7
4,EcN,t3,1030.54,7
5,EcN,t3,1784.825,2
6,EcN,t3,1995.77,2
7,EcN,t3,3127.7855,6
8,EcN,t3,1009.0675,6
