id,group,time,score,department
1,Control,t1,1057.735,1
2,Control,t1,1432.515,1
3,Control,t1,1829.03,7
4,Control,t1,1466.815,7
5,Control,t1,809.34,2
6,Control,t1,2381.295,2
7,Control,t1,1033.76,6
8,Control,t1,352.625,6
1,EcN,t1,1774.85,1
2,EcN,t1,1540.35,1
3,EcN,t1,849.625,7
4,EcN,t1,439.67,7
5,EcN,t1,298.69,2
6,EcN,t1,479.465,2
7,EcN,t1,1373.47,6
8,EcN,t1,1888.635,6
1,Control,t2,906.99,1
2,Control,t2,2239.86,1
3,Control,t2,1176.42,7
4,Control,t2,1478.155,7
5,Control,t2,653.52,2
6,Control,t2,1154.055,2
7,Control,t2,1234.4395,6
8,Control,t2,1255.7895,6
1,EcN,t2,,1
2,EcN,t2,820.26,1
3,EcN,t2,2194.465,7
4,EcN,t2,561.26,7
5,EcN,t2,346.955,2
6,EcN,t2,1092.945,2
7,EcN,t2,842.0615,6
8,EcN,t2,492.807,6
1,Control,t3,1191.82,1
2,Control,t3,461.965,1
3,Control,t3,475.825,7
4,Control,t3,844.095,7
5,Control,t3,1212.12,2
6,Control,t3,629.51,2
7,Control,t3,729.8095,6
8,Control,t3,641.802,6
1,EcN,t3,,1
2,EcN,t3,1356.53,1
3,EcN,t3,426.195,7
4,EcN,t3,230.755,7
5,EcN,t3,561.855,2
6,EcN,t3,955.605,2
7,EcN,t3,768.159,6
8,EcN,t3,308.8155,6
