id,group,time,score,department
1,Control,t1,0.763128377,6
2,Control,t1,0.997233437,1
3,Control,t1,1.090734069,6
4,Control,t1,,7
5,Control,t1,-0.152735898,2
6,Control,t1,,1
7,Control,t1,1.200645336,7
8,Control,t1,1.225309282,2
1,EcN,t1,0.974787932,7
2,EcN,t1,1.504729052,6
3,EcN,t1,1.421381788,2
4,EcN,t1,1.364072351,7
5,EcN,t1,1.377725041,1
6,EcN,t1,1.783142183,6
7,EcN,t1,1.498551762,1
8,EcN,t1,1.738776596,2
1,Control,t2,1.219754753,3
2,Control,t2,1.079235529,3
3,Control,t2,0.782615932,2
4,Control,t2,1.011824096,4
5,Control,t2,1.100129203,2
6,Control,t2,1.335126788,1
7,Control,t2,1.301767669,1
8,Control,t2,0.921374295,4
1,EcN,t2,1.28308629,4
2,EcN,t2,1.027940499,3
3,EcN,t2,1.173273701,2
4,EcN,t2,0.999674157,2
5,EcN,t2,0.712270791,1
6,EcN,t2,0.523616419,4
7,EcN,t2,0.79302166,1
8,EcN,t2,,3
1,Control,t3,1.788765646,3
2,Control,t3,1.681801839,4
3,Control,t3,1.212826586,2
4,Control,t3,1.580537243,3
5,Control,t3,1.215148277,1
6,Control,t3,1.278307649,2
7,Control,t3,1.287342568,1
8,Control,t3,1.202937637,4
1,EcN,t3,1.648725835,2
2,EcN,t3,1.738304793,3
3,EcN,t3,2.082654344,4
4,EcN,t3,,1
5,EcN,t3,1.873750614,3
6,EcN,t3,1.555596198,4
7,EcN,t3,,2
8,EcN,t3,0.944087679,1
