id,group,time,score,department
1,Control,t1,0.784,6
2,Control,t1,8.057,1
3,Control,t1,5.5965,6
4,Control,t1,,7
5,Control,t1,3.248,2
6,Control,t1,,1
7,Control,t1,15.6415,7
8,Control,t1,15.6415,2
1,EcN,t1,5.7435,7
2,EcN,t1,18.795,6
3,EcN,t1,21.4445,2
4,EcN,t1,21.518,7
5,EcN,t1,14.3745,1
6,EcN,t1,33.7085,6
7,EcN,t1,23.961,1
8,EcN,t1,34.9125,2
1,Control,t2,14.5495,3
2,Control,t2,11.1755,3
3,Control,t2,5.0085,2
4,Control,t2,6.0235,4
5,Control,t2,7.4025,2
6,Control,t2,19.726,1
7,Control,t2,14.868,1
8,Control,t2,4.907,4
1,EcN,t2,13.5275,4
2,EcN,t2,8.071,3
3,EcN,t2,10.234,2
4,EcN,t2,9.387,2
5,EcN,t2,,1
6,EcN,t2,6.02,4
7,EcN,t2,5.0085,1
8,EcN,t2,,3
1,Control,t3,58.6145,3
2,Control,t3,33.152,4
3,Control,t3,,2
4,Control,t3,51.73,3
5,Control,t3,30.9645,1
6,Control,t3,22.2425,2
7,Control,t3,20.8915,1
8,Control,t3,20.412,4
1,EcN,t3,66.9585,2
2,EcN,t3,52.15,3
3,EcN,t3,63.1645,4
4,EcN,t3,,1
5,EcN,t3,64.9005,3
6,EcN,t3,26.0645,4
7,EcN,t3,,2
8,EcN,t3,12.2955,1
